Window Size,500 Median,500 Min,500 Max,2500 Median,2500 Min,2500 Max
1,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
5,0.2142857142857142,0.0,0.4285714285714285,0.1550480769230769,0.0,0.4545454545454545
10,0.3801313628899835,0.0833333333333333,0.6688311688311688,0.2989864864864865,0.1,0.4986737400530504
15,0.4963768115942029,0.2444444444444444,0.7267441860465116,0.4192847925352392,0.1384615384615384,0.6271186440677966
20,0.5783559113300493,0.2631578947368421,0.8707317073170732,0.5,0.21875,0.7683653209794837
25,0.635423197492163,0.3148148148148148,0.9364035087719298,0.5578063121800445,0.2672413793103448,0.8402961396086727
30,0.6950191570881226,0.3375,0.9552238805970148,0.6069755611073056,0.2992700729927007,0.8812168034765814
35,0.7352303220035779,0.3763440860215054,0.9815573770491804,0.6634783443772208,0.3310344827586207,0.9444208739923632
40,0.7605252803462522,0.5104166666666666,0.9877800407331976,0.6980938207423819,0.4088888888888889,0.9583853516437786
45,0.790037257824143,0.5398773006134969,0.9939271255060728,0.7284183443380599,0.4757281553398058,0.9714635140644108
50,0.8170117490578586,0.5738636363636364,0.995967741935484,0.7661112011429699,0.484149855907781,0.9827170418006432
55,0.8392281194462119,0.6028368794326241,0.995967741935484,0.7966630081706412,0.5169712793733682,0.9831257533145842
60,0.8725455820476858,0.6071428571428571,0.997991967871486,0.8244870262531222,0.5264423076923077,0.9912420382165604
65,0.8917247227441265,0.6071428571428571,0.997995991983968,0.8417387968925785,0.530952380952381,0.9912420382165604
70,0.9040081024260034,0.6038647342995169,0.997995991983968,0.8561026255237811,0.5214446952595937,0.995251286110012
75,0.927378277153558,0.6113744075829384,0.997995991983968,0.8769266641717353,0.5299145299145299,0.9968391939944686
80,0.9422219368984539,0.6610169491525424,1.0,0.8877789270123702,0.5329087048832272,0.9968391939944686
85,0.9524922445361883,0.6653225806451613,1.0,0.9035118815628196,0.558303886925795,0.9988170347003156
90,0.9620382010244479,0.6825396825396826,1.0,0.9155962945664019,0.6160337552742616,0.9996059889676912
95,0.9693381419889133,0.6996197718631179,1.0,0.9295564131191042,0.6706976744186046,0.9996059889676912
100,0.9794230842510384,0.7116104868913857,1.0,0.9384349912833464,0.6991869918699187,0.9996059889676912
105,0.9826550714496937,0.7050359712230215,1.0,0.9448220522986879,0.6950276243093922,1.0
110,0.9856700443371637,0.7127659574468085,1.0,0.9517686476159651,0.71413390010627,1.0
115,0.9878542510121456,0.7863777089783281,1.0,0.9600996659530463,0.7474654377880184,1.0
120,0.990909090909091,0.7885906040268457,1.0,0.973132744154753,0.7486238532110092,1.0
125,0.9939576977997013,0.7894736842105263,1.0,0.9761911861172401,0.7540192926045016,1.0
130,0.9959758551307848,0.8125,1.0,0.9778668989482684,0.757527733755943,1.0
135,0.9959839357429718,0.821875,1.0,0.9816445685497257,0.7642089093701997,1.0
140,0.9959839357429718,0.821875,1.0,0.9851652733118972,0.7713853141559425,1.0
145,0.9969899638634699,0.8260869565217391,1.0,0.9869729354168926,0.7749287749287749,1.0
150,0.997995991983968,0.846820809248555,1.0,0.9892212217844311,0.7752489331436699,1.0
155,0.997995991983968,0.852054794520548,1.0,0.990854870775348,0.776678445229682,1.0
160,0.997995991983968,0.8608923884514436,1.0,0.9932516011313469,0.7904695164681149,1.0
165,0.997995991983968,0.8608923884514436,1.0,0.9940570522979396,0.7933194154488518,1.0
170,0.997995991983968,0.8638743455497382,1.0,0.9950524047335492,0.7951388888888888,1.0
175,0.997995991983968,0.8638743455497382,1.0,0.9958433845212542,0.7959750173490632,1.0
180,0.998997995991984,0.8819095477386935,1.0,0.9968391939944686,0.8102001291155584,1.0
185,1.0,0.8825,1.0,0.9976312672720096,0.8233128834355828,1.0
190,1.0,0.8855721393034826,1.0,0.9978290511577096,0.8287092882991556,1.0
195,1.0,0.8858560794044665,1.0,0.9980268350434096,0.830607476635514,1.0
200,1.0,0.8858560794044665,1.0,0.9982244628865964,0.8316357100059916,1.0
